Prompt;Number of statements;Parameters
"Input text:
Textual context: Driving time of 4.0 hours means the total operation time couldn't be less than 4.0 hours.
When there are 285 stops, PTO-engaged stops cannot surpass 285.
Given that axle 1 load is 4563.0 kg, axle 2 load needs to be greater than 4563.0 kg.
If the load on axle 2 is 8833.2 kg, axle 1 must bear less than 8833.2 kg.
Given axle 3 load is 5909.8 kg, axle 1 load must be below 5909.8 kg.
When axle 2 has 9832.0 kg, the payload needs to be under 9832.0 kg.
With a payload of 1580.6 kg, axle 3 must have more than 1580.6 kg.
If axle 3 is loaded with 6130.4 kg, the payload must be less than 6130.4 kg.
When PTO time is 1.8, idle time is 1.8, and driving time is 2.4, the total time can't be less than 6.1.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Consuming 60.6 dm³ of fuel means the vehicle couldn't have traveled beyond 70.6 km.
Operating for 8.4 hours means PTO time couldn't have surpassed 8.4 hours.
With PTO operation time at 4.3 hours, the total time couldn't be less than 4.3 hours.
If the vehicle's operation time was 3.2 hours, idle time couldn't be more than 3.2 hours.
When the total operation time was 2.2 hours, driving time couldn't have exceeded 2.2 hours.
Driving time of 3.7 hours means the total operation time couldn't be less than 3.7 hours.
Given that PTO-engaged stops are 239, the stops must be at least 239.
With axle 2 supporting 7628.0 kg, axle 1 must have less than 7628.0 kg.
If the load on axle 2 is 10795.8 kg, the payload must be under 10795.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When the vehicle traveled 75.3 km, it definitely consumed no less than 65.3 dm³ of fuel.
If the vehicle's operation time was 9.6 hours, idle time couldn't be more than 9.6 hours.
When idle time was 4.5 hours, the overall operation time couldn't have been under 4.5 hours.
With a total operation time of 9.9 hours, driving time couldn't exceed 9.9 hours.
Given 79 stops, PTO-engaged stops cannot be more than 79.
When axle 2 has 10012.0 kg, axle 1 load needs to be under 10012.0 kg.
When axle 1 carries 6856.8 kg, axle 3 needs to be loaded with more than 6856.8 kg.
If the payload is 5424.3 kg, axle 2 must bear more than 5424.3 kg.
If axle 3 is loaded with 5367.1 kg, the payload must be less than 5367.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a distance of 24.5 km traveled, it is not feasible the vehicle consumed below 14.5 dm³ of fuel.
With a total operation time of 7.0 hours, PTO operation time couldn't exceed 7.0 hours.
With PTO operation time at 4.7 hours, the total time couldn't be less than 4.7 hours.
If the vehicle's operation time was 6.1 hours, driving time couldn't be more than 6.1 hours.
Driving time of 4.8 hours means the total operation time couldn't be less than 4.8 hours.
With 97 PTO-engaged stops, the minimum number of stops is 97.
If the load on axle 2 is 7322.5 kg, axle 1 must bear less than 7322.5 kg.
When the payload is 599.8 kg, axle 3 needs to be loaded with more than 599.8 kg.
When axle 3 has 6877.6 kg, the payload needs to be under 6877.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle's operation time was 6.7 hours, it definitely consumed no less than 62.7 dm³ of fuel.
Using 52.8 dm³ of fuel means the vehicle couldn’t have operated more than 5.8 hours.
With a fuel consumption of 73.8 dm³, the vehicle couldn't have traveled more than 83.8 km.
If idle time was 2.1 hours, the vehicle's total operation time wouldn't be below 2.1 hours.
Given 78 stops, PTO-engaged stops cannot be more than 78.
If there are 56 PTO-engaged stops, total stops can't be under 56.
If the load on axle 1 is 3903.5 kg, axle 2 must carry more than 3903.5 kg.
If the load on axle 2 is 7353.2 kg, axle 1 must bear less than 7353.2 kg.
When the payload is 9201.1 kg, axle 2 needs to be loaded with more than 9201.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle ran for 5.6 hours, it is not possible it consumed below 50.9 dm³ of fuel.
Given a fuel consumption of 18.3 dm³, the vehicle wouldn't have functioned for longer than 2.7 hours.
Consuming 60.4 dm³ of fuel means the vehicle couldn't have traveled beyond 70.4 km.
PTO operation of 1.9 hours means the total time couldn't be less than 1.9 hours.
If the vehicle's operation time was 2.7 hours, idle time couldn't be more than 2.7 hours.
If axle 1 supports 7381.2 kg, axle 3 must bear more than 7381.2 kg.
When the payload is 8060.0 kg, axle 3 needs to be loaded with more than 8060.0 kg.
Given axle 3 load is 4554.8 kg, the payload must be below 4554.8 kg.
When PTO time is 2.6, idle time is 2.6, and driving time is 3.4, the total time can't be less than 8.6.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle ran for 8.7 hours, it is not possible it consumed below 85.2 dm³ of fuel.
If the vehicle used 96.3 dm³ of fuel, operating for over 9.7 hours is impossible.
Given that idle time was 1.0 hours, total operation time couldn't be under 1.0 hours.
With a total operation time of 6.9 hours, driving time couldn't exceed 6.9 hours.
When driving time was 3.8 hours, the overall operation time couldn't have been under 3.8 hours.
Given 141 stops, PTO-engaged stops cannot be more than 141.
If axle 1 supports 6422.1 kg, axle 2 must bear more than 6422.1 kg.
With axle 2 supporting 9800.6 kg, axle 1 must have less than 9800.6 kg.
With axle 1 load at 2923.9 kg, axle 3 must have more than 2923.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: When the total operation time was 2.8 hours, PTO time couldn't have exceeded 2.8 hours.
With PTO operation time at 4.9 hours, the total time couldn't be less than 4.9 hours.
If the vehicle's operation time was 3.5 hours, idle time couldn't be more than 3.5 hours.
If idle time was 2.0 hours, the vehicle's total operation time wouldn't be below 2.0 hours.
Given an operation time of 6.8 hours, driving time wouldn't be more than 6.8 hours.
With 180 PTO-engaged stops, the minimum number of stops is 180.
If the load on axle 1 is 5293.7 kg, axle 3 must carry more than 5293.7 kg.
If axle 3 is loaded with 5569.9 kg, axle 1 must carry less than 5569.9 kg.
Given a payload of 3623.8 kg, axle 2 load must exceed 3623.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: With a total operation time of 9.2 hours, the vehicle must have used at least 91.5 dm³ of fuel.
When the vehicle consumed 24.3 dm³ of fuel, it couldn't have run for more than 3.3 hours.
Operating for 7.6 hours means idle time couldn't exceed 7.6 hours.
When there are 201 stops, PTO-engaged stops cannot surpass 201.
Given that axle 1 load is 3253.8 kg, axle 2 load needs to be greater than 3253.8 kg.
If the load on axle 1 is 2451.2 kg, axle 3 must carry more than 2451.2 kg.
If the load on axle 3 is 6578.0 kg, axle 1 must bear less than 6578.0 kg.
When the payload is 2647.7 kg, axle 2 needs to be loaded with more than 2647.7 kg.
Given axle 3 load is 5571.9 kg, the payload must be below 5571.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total operation time', 'idle time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle operated for 6.9 hours, PTO time couldn't have been greater than 6.9 hours.
With idle time at 2.7 hours, the total operation time couldn't be less than 2.7 hours.
Given an operation time of 5.2 hours, driving time wouldn't be more than 5.2 hours.
If driving time was 1.7 hours, the vehicle's total operation time wouldn't be below 1.7 hours.
Given 119 stops, PTO-engaged stops cannot be more than 119.
Given that axle 1 load is 5735.9 kg, axle 2 load needs to be greater than 5735.9 kg.
If axle 1 supports 6014.6 kg, axle 3 must bear more than 6014.6 kg.
When axle 3 has 7132.0 kg, axle 1 load needs to be under 7132.0 kg.
When the payload is 3401.4 kg, axle 2 needs to be loaded with more than 3401.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle used 22.2 dm³ of fuel, operating for over 3.1 hours is impossible.
Traveling 86.6 km implies the vehicle couldn't have used less than 76.6 dm³ of fuel.
Operating for 5.3 hours means driving time couldn't surpass 5.3 hours.
Driving time of 2.0 hours means the total operation time couldn't be less than 2.0 hours.
If PTO-engaged stops are 245, then the total stops cannot be fewer than 245.
With axle 2 supporting 9158.8 kg, axle 1 must have less than 9158.8 kg.
If axle 3 is loaded with 6134.6 kg, axle 1 must carry less than 6134.6 kg.
With axle 2 supporting 10976.6 kg, the payload must be less than 10976.6 kg.
When axle 3 has 6904.0 kg, the payload needs to be under 6904.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle ran for 4.2 hours, it is not possible it consumed below 34.2 dm³ of fuel.
When PTO time was 2.3 hours, the overall operation time couldn't have been under 2.3 hours.
Operating for 4.5 hours means idle time couldn't exceed 4.5 hours.
When the total operation time was 5.3 hours, driving time couldn't have exceeded 5.3 hours.
When driving time was 3.4 hours, the overall operation time couldn't have been under 3.4 hours.
When PTO-engaged stops are 189, total stops cannot be below 189.
If the load on axle 2 is 11175.9 kg, the payload must be under 11175.9 kg.
If the load on axle 3 is 5049.9 kg, the payload must be under 5049.9 kg.
If PTO operation is 0.6, idle time is 0.6, and driving time is 0.8, then the overall time can't be less than 2.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle ran for 7.9 hours, it is not possible it consumed below 76.4 dm³ of fuel.
If PTO time was 2.3 hours, the vehicle's total operation time wouldn't be below 2.3 hours.
Driving time of 3.1 hours means the total operation time couldn't be less than 3.1 hours.
Given 115 stops, PTO-engaged stops cannot be more than 115.
If the load on axle 2 is 7617.5 kg, axle 1 must bear less than 7617.5 kg.
With axle 1 load at 5648.9 kg, axle 3 must have more than 5648.9 kg.
When axle 3 has 6231.3 kg, axle 1 load needs to be under 6231.3 kg.
Given a payload of 8668.8 kg, axle 3 load must exceed 8668.8 kg.
When axle 3 has 6639.8 kg, the payload needs to be under 6639.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Operating for 3.0 hours means the vehicle couldn't have used less than 21.0 dm³ of fuel.
When the vehicle consumed 22.8 dm³ of fuel, it couldn't have run for more than 3.1 hours.
With PTO operation time at 0.4 hours, the total time couldn't be less than 0.4 hours.
If idle time was 1.4 hours, the vehicle's total operation time wouldn't be below 1.4 hours.
If the load on axle 1 is 3863.1 kg, axle 2 must carry more than 3863.1 kg.
Given axle 2 load is 8669.0 kg, axle 1 load must be below 8669.0 kg.
Given axle 3 load is 7276.1 kg, axle 1 load must be below 7276.1 kg.
Given a payload of 8863.6 kg, axle 3 load must exceed 8863.6 kg.
If axle 3 is loaded with 5706.6 kg, the payload must be less than 5706.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Given a fuel consumption of 65.4 dm³, the vehicle wouldn't have functioned for longer than 6.9 hours.
Consuming 60.1 dm³ of fuel means the vehicle couldn't have traveled beyond 70.1 km.
Operating for 6.3 hours means PTO time couldn't have surpassed 6.3 hours.
If the vehicle's operation time was 9.3 hours, driving time couldn't be more than 9.3 hours.
If there are 33 PTO-engaged stops, total stops can't be under 33.
If axle 2 is loaded with 7211.7 kg, axle 1 must carry less than 7211.7 kg.
If the load on axle 2 is 7920.3 kg, the payload must be under 7920.3 kg.
If the payload is 3666.9 kg, axle 3 must bear more than 3666.9 kg.
When PTO time is 2.2, idle time is 2.2, and driving time is 2.9, the total time can't be less than 7.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Given that the vehicle consumed 80.7 dm³ of fuel, it wouldn't have gone further than 90.7 km.
Given an operation time of 4.3 hours, PTO operation time wouldn't be more than 4.3 hours.
PTO operation of 2.2 hours means the total time couldn't be less than 2.2 hours.
Idle time of 1.6 hours means the total operation time couldn't be less than 1.6 hours.
Operating for 9.5 hours means driving time couldn't surpass 9.5 hours.
When there are 174 stops, PTO-engaged stops cannot surpass 174.
If PTO-engaged stops are 131, then the total stops cannot be fewer than 131.
With axle 2 supporting 8235.2 kg, the payload must be less than 8235.2 kg.
With a payload of 7446.7 kg, axle 3 must have more than 7446.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Operating for 3.9 hours means the vehicle couldn't have used less than 31.1 dm³ of fuel.
If the vehicle used 59.0 dm³ of fuel, operating for over 6.4 hours is impossible.
Traveling 103.9 km implies the vehicle couldn't have used less than 93.9 dm³ of fuel.
Given that idle time was 4.9 hours, total operation time couldn't be under 4.9 hours.
Operating for 7.2 hours means driving time couldn't surpass 7.2 hours.
If the number of stops was 29, then it is not possible for PTO-engaged stops to exceed 29.
Given that PTO-engaged stops are 48, the stops must be at least 48.
Given axle 1 load is 7246.1 kg, axle 3 load must exceed 7246.1 kg.
With a payload of 5921.4 kg, axle 2 must have more than 5921.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle operated for 7.4 hours, PTO time couldn't have been greater than 7.4 hours.
With idle time at 3.9 hours, the total operation time couldn't be less than 3.9 hours.
Given an operation time of 2.8 hours, driving time wouldn't be more than 2.8 hours.
If stops equal 243, PTO-engaged stops can't exceed 243.
Given that PTO-engaged stops are 215, the stops must be at least 215.
Given that axle 1 load is 5081.7 kg, axle 2 load needs to be greater than 5081.7 kg.
Given axle 3 load is 5194.5 kg, axle 1 load must be below 5194.5 kg.
When the payload is 170.1 kg, axle 2 needs to be loaded with more than 170.1 kg.
If the payload is 3910.9 kg, axle 3 must carry more than 3910.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle's operation time was 4.7 hours, it definitely consumed no less than 40.6 dm³ of fuel.
Given a fuel consumption of 36.0 dm³, the vehicle wouldn't have functioned for longer than 4.3 hours.
Covering a distance of 96.1 km means the vehicle couldn't have consumed under 86.1 dm³ of fuel.
With 111 stops, it's impossible for PTO-engaged stops to be above 111.
If PTO-engaged stops are 114, then the total stops cannot be fewer than 114.
Given axle 2 load is 8865.1 kg, axle 1 load must be below 8865.1 kg.
With axle 2 supporting 9240.2 kg, the payload must be less than 9240.2 kg.
If the payload is 10428.0 kg, axle 3 must carry more than 10428.0 kg.
If PTO time is 1.9, idle time is 1.9, and driving time is 2.5, total operation time must be at least 6.3.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 5.7 hours, PTO operation time couldn't exceed 5.7 hours.
With PTO operation time at 3.4 hours, the total time couldn't be less than 3.4 hours.
If the vehicle's operation time was 4.1 hours, idle time couldn't be more than 4.1 hours.
Given that idle time was 2.6 hours, total operation time couldn't be under 2.6 hours.
If there are 58 PTO-engaged stops, total stops can't be under 58.
If the load on axle 1 is 5417.5 kg, axle 3 must carry more than 5417.5 kg.
Given axle 3 load is 7414.3 kg, axle 1 load must be below 7414.3 kg.
With a payload of 8211.3 kg, axle 2 must have more than 8211.3 kg.
With axle 2 supporting 8777.7 kg, the payload must be less than 8777.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the vehicle used 33.7 dm³ of fuel, operating for over 4.1 hours is impossible.
When the total operation time was 2.1 hours, PTO time couldn't have exceeded 2.1 hours.
Operating for 4.5 hours means idle time couldn't exceed 4.5 hours.
Given that driving time was 2.1 hours, the total operation time couldn't be under 2.1 hours.
If the load on axle 1 is 7580.8 kg, axle 3 must carry more than 7580.8 kg.
If axle 3 is loaded with 4595.9 kg, axle 1 must carry less than 4595.9 kg.
With axle 2 supporting 10344.4 kg, the payload must be less than 10344.4 kg.
If the payload is 8347.2 kg, axle 3 must carry more than 8347.2 kg.
If PTO operation is 2.6, idle time is 2.6, and driving time is 3.4, then the overall time can't be less than 8.5.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Given a fuel consumption of 42.0 dm³, the vehicle wouldn't have functioned for longer than 4.8 hours.
Given an operation time of 4.3 hours, PTO operation time wouldn't be more than 4.3 hours.
PTO operation of 3.6 hours means the total time couldn't be less than 3.6 hours.
When idle time was 2.0 hours, the overall operation time couldn't have been under 2.0 hours.
Operating for 2.3 hours means driving time couldn't surpass 2.3 hours.
When PTO-engaged stops are 246, total stops cannot be below 246.
Given axle 2 load is 10018.1 kg, axle 1 load must be below 10018.1 kg.
When axle 2 has 10884.3 kg, the payload needs to be under 10884.3 kg.
If the load on axle 3 is 5329.5 kg, the payload must be under 5329.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Operating for 8.6 hours means the vehicle couldn't have used less than 84.2 dm³ of fuel.
With a fuel consumption of 30.9 dm³, the vehicle couldn't have traveled more than 40.9 km.
If PTO time was 4.5 hours, the vehicle's total operation time wouldn't be below 4.5 hours.
Operating for 3.3 hours means driving time couldn't surpass 3.3 hours.
If driving time was 5.0 hours, the vehicle's total operation time wouldn't be below 5.0 hours.
If the number of stops was 200, then it is not possible for PTO-engaged stops to exceed 200.
Given axle 1 load is 6921.7 kg, axle 3 load must exceed 6921.7 kg.
When axle 2 has 10316.3 kg, the payload needs to be under 10316.3 kg.
With axle 3 supporting 5064.0 kg, the payload must be less than 5064.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a fuel consumption of 85.3 dm³, the vehicle couldn't have traveled more than 95.3 km.
When the total operation time was 3.6 hours, PTO time couldn't have exceeded 3.6 hours.
When the total operation time was 8.3 hours, driving time couldn't have exceeded 8.3 hours.
Driving time of 1.2 hours means the total operation time couldn't be less than 1.2 hours.
Given that PTO-engaged stops are 182, the stops must be at least 182.
Given that axle 1 load is 4470.7 kg, axle 2 load needs to be greater than 4470.7 kg.
When axle 2 has 9299.6 kg, axle 1 load needs to be under 9299.6 kg.
When axle 2 has 10788.4 kg, the payload needs to be under 10788.4 kg.
If the payload is 4267.2 kg, axle 3 must bear more than 4267.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle traveled 36.4 km, it must have used at least 26.4 dm³ of fuel.
If the vehicle used 49.4 dm³ of fuel, traveling over 59.4 km is impossible.
Given that PTO time was 1.4 hours, the total operation time couldn't be under 1.4 hours.
When driving time was 2.4 hours, the overall operation time couldn't have been under 2.4 hours.
Given 158 stops, PTO-engaged stops cannot be more than 158.
With axle 2 supporting 7215.8 kg, axle 1 must have less than 7215.8 kg.
When axle 1 carries 4749.2 kg, axle 3 needs to be loaded with more than 4749.2 kg.
Given axle 3 load is 6380.8 kg, axle 1 load must be below 6380.8 kg.
If the load on axle 3 is 6108.6 kg, the payload must be under 6108.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle ran for 6.0 hours, it is not possible it consumed below 54.5 dm³ of fuel.
Given a fuel consumption of 23.4 dm³, the vehicle wouldn't have functioned for longer than 3.2 hours.
With a distance of 64.0 km traveled, it is not feasible the vehicle consumed below 54.0 dm³ of fuel.
With a fuel consumption of 44.2 dm³, the vehicle couldn't have traveled more than 54.2 km.
Given that idle time was 2.3 hours, total operation time couldn't be under 2.3 hours.
If stops equal 85, PTO-engaged stops can't exceed 85.
With axle 2 supporting 10106.3 kg, the payload must be less than 10106.3 kg.
If the payload is 7238.0 kg, axle 3 must bear more than 7238.0 kg.
Given axle 3 load is 7351.0 kg, the payload must be below 7351.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
