Prompt;Number of conditions;Parameters
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
Idle time should be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 2.
The load supported by axle 1 cannot exceed that of axle 3.
The payload must always be smaller than or equal to the load on axle 2.
Axle 3's load must always be equal to or greater than the payload.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The total operation duration must not be lower than the PTO operation time.
The total operation durationmust not be lower than the driving time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load on axle 1 must not surpass the load on axle 2.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Axle 3's load must always be equal to or greater than the payload.
";7;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
The total operation duration must not be lower than the idle time.
Axle 1's load cannot exceed Axle 2's load.
Axle 1's load cannot exceed Axle 3's load.
The payload cannot exceed the capacity of axle 2.
The payload must always be smaller than or equal to the load on axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Stops with PTO engaged cannot outnumber the total stops.
The weight on axle 1 cannot surpass the weight on axle 2.
The payload must always be smaller than or equal to the load on axle 2.
The payload must not exceed the load carried by axle 3.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";7;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The total operation duration must not be lower than the PTO operation time.
Total operation time shouldn’t be lower than idle time.
Driving time cannot be greater than the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
";7;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Idle time should be less than or equal to the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
The load on axle 1 must not surpass the load on axle 2.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Payload must remain below or equal to the load carried by axle 2.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";7;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
Total operation time shouldn’t be lower than idle time.
Total operation time should shouldn’t be lower than driving time.
The payload cannot exceed the capacity of axle 2.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
Idle time must always be less than or equal to the total operation time.
Driving time cannot be greater than the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The load on axle 1 must not surpass the load on axle 3.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
The total operation duration must not be lower than the PTO operation time.
Idle time should be less than or equal to the total operation time.
The total operation durationmust not be lower than the driving time.
Stops with PTO engaged cannot outnumber the total stops.
The load on axle 1 must not surpass the load on axle 2.
Axle 1's load cannot exceed Axle 3's load.
";7;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
PTO operation time should be less than or equal to the total operation time.
Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.
Axle 1's load cannot exceed Axle 2's load.
Payload must remain below or equal to the load carried by axle 2.
";7;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
PTO operation time must be less than or equal to the total operation time.
Idle time cannot be greater than the total operation time.
Driving time must always be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.
The payload must not exceed the load carried by axle 2.
The payload cannot exceed the capacity of axle 3.
";7;[['total fuel consumption', 'total operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
Driving time must always be less than or equal to the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
The weight on axle 1 cannot surpass the weight on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
The payload cannot exceed the capacity of axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'idle time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
PTO operation time cannot be greater than the total operation time.
The total operation duration must not be lower than the idle time.
Stops with PTO engaged should never outnumber total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
Axle 3's load must always be equal to or greater than the payload.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
The total operation duration must not be lower than the PTO operation time.
Total operation time should shouldn’t be lower than driving time.
Axle 1's load cannot exceed Axle 2's load.
Axle 1's load cannot exceed Axle 3's load.
Axle 3's load must always be equal to or greater than the payload.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
Idle time cannot be greater than the total operation time.
Total operation time should shouldn’t be lower than driving time.
The load supported by axle 1 cannot exceed that of axle 3.
The payload must not exceed the load carried by axle 2.
Axle 3's load must always be equal to or greater than the payload.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
Total operation time should shouldn’t be lower than driving time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load supported by axle 1 cannot exceed that of axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
Payload must remain below or equal to the load carried by axle 2.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'total fuel consumption'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
The total operation duration must not be lower than the idle time.
Total operation time should shouldn’t be lower than driving time.
Stops with PTO engaged should never outnumber total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
Axle 3's load must always be equal to or greater than the payload.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
PTO operation time should be less than or equal to the total operation time.
Idle time should be less than or equal to the total operation time.
Driving time cannot be greater than the total operation time.
Axle 1's load cannot exceed Axle 3's load.
The payload must not exceed the load carried by axle 3.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";7;[['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The total operation duration must not be lower than the PTO operation time.
The total operation duration must not be lower than the idle time.
Axle 1's load cannot exceed Axle 3's load.
Payload must remain below or equal to the load carried by axle 2.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time shouldn’t be lower than idle time.
Total operation time should shouldn’t be lower than driving time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 2.
";7;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Idle time cannot be greater than the total operation time.
The total operation durationmust not be lower than the driving time.
The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
Payload must remain below or equal to the load carried by axle 2.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
Idle time should be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 2's load.
The load supported by axle 1 cannot exceed that of axle 3.
The payload cannot exceed the capacity of axle 2.
The payload must always be smaller than or equal to the load on axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
PTO operation time should be less than or equal to the total operation time.
Driving time cannot be greater than the total operation time.
Stops with PTO engaged should never outnumber total stops.
Axle 1's load cannot exceed Axle 3's load.
Axle 3's load must always be equal to or greater than the payload.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
Idle time should be less than or equal to the total operation time.
Driving time cannot be greater than the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load supported by axle 1 cannot exceed that of axle 3.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The total operation duration must not be lower than the PTO operation time.
Driving time cannot be greater than the total operation time.
Axle 1's load cannot exceed Axle 2's load.
The weight on axle 1 cannot surpass the weight on axle 3.
The payload must always be smaller than or equal to the load on axle 2.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Axle 1's load cannot exceed Axle 3's load.
The payload must not exceed the load carried by axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The load supported by axle 1 cannot exceed that of axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
The total operation duration must not be lower than the PTO operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
Axle 1's load cannot exceed Axle 3's load.
The payload must not exceed the load carried by axle 2.
The payload must not exceed the load carried by axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";7;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
Idle time must always be less than or equal to the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
Total operation time shouldn’t be lower than idle time.
Stops with PTO engaged cannot outnumber the total stops.
The load on axle 1 must not surpass the load on axle 2.
Axle 1's load cannot exceed Axle 3's load.
The payload cannot exceed the capacity of axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'total fuel consumption'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
Total operation time shouldn’t be lower than PTO operation time.
Idle time should be less than or equal to the total operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
The load supported by axle 1 cannot exceed that of axle 2.
The payload must always be smaller than or equal to the load on axle 2.
Axle 3's load must always be equal to or greater than the payload.
";7;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.
PTO operation time should be less than or equal to the total operation time.
Total operation time shouldn’t be lower than idle time.
The load on axle 1 must not surpass the load on axle 2.
Axle 2's load must always be equal to or greater than the payload.
Payload must remain below or equal to the load carried by axle 3.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";7;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
The total operation duration must not be lower than the PTO operation time.
Total operation time should shouldn’t be lower than driving time.
The total stop count must not be lower than the count of stops where PTO is engaged.
The payload must not exceed the load carried by axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The total operation durationmust not be lower than the driving time.
Stops with PTO engaged should never outnumber total stops.
The load on axle 1 must not surpass the load on axle 3.
The payload cannot exceed the capacity of axle 2.
The payload must not exceed the load carried by axle 3.
";7;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
PTO operation time must be less than or equal to the total operation time.
The total operation durationmust not be lower than the driving time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load supported by axle 1 cannot exceed that of axle 2.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Axle 2's load must always be equal to or greater than the payload.
";7;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The total operation duration must not be lower than the idle time.
Stops with PTO engaged should never outnumber total stops.
The load supported by axle 1 cannot exceed that of axle 2.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
The payload cannot exceed the capacity of axle 2.
The payload cannot exceed the capacity of axle 3.
";7;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
The total operation duration must not be lower than the idle time.
Stops with PTO engaged cannot outnumber the total stops.
Axle 1's load cannot exceed Axle 3's load.
The payload must always be smaller than or equal to the load on axle 2.
The payload must not exceed the load carried by axle 3.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";7;[['total operation time', 'total fuel consumption'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
PTO operation time should be less than or equal to the total operation time.
Driving time should be less than or equal to the total operation time.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The payload cannot exceed the capacity of axle 2.
The payload cannot exceed the capacity of axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
Total operation time shouldn’t be lower than idle time.
Stops with PTO engaged cannot outnumber the total stops.
The weight on axle 1 cannot surpass the weight on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
Axle 2's load must always be equal to or greater than the payload.
Total operation time should be at least the sum of PTO, idle, and driving times.
";7;[['total fuel consumption', 'total operation time'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
Idle time cannot be greater than the total operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
Payload must remain below or equal to the load carried by axle 3.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";8;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
PTO operation time must be less than or equal to the total operation time.
Idle time should be less than or equal to the total operation time.
Driving time must always be less than or equal to the total operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
The load supported by axle 1 cannot exceed that of axle 2.
The payload must not exceed the load carried by axle 2.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";8;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
PTO operation time cannot be greater than the total operation time.
Total operation time shouldn’t be lower than idle time.
PTO-engaged stops cannot exceed the total number of stops.
The load supported by axle 1 cannot exceed that of axle 2.
The load on axle 1 must not surpass the load on axle 3.
The payload cannot exceed the capacity of axle 3.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";8;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
